"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","Moran_neglog10_padj","spatial_class"
"CXCR5",5.108,8.33715863051127e-22,7.61837645429505e-19,0.146,0.004,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.052151954325867,0.00038288090680445,3.41693629015849,"Weakly structured"
"CCL21",5.0783,1.79370966117452e-42,1.14734638477028e-38,0.878,0.144,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.527567216192901,6.73368027947644e-239,238.171747508108,"Spatially structured"
"AC022144.1",4.8856,9.4596669584175e-14,7.5635949624397e-12,0.098,0.003,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,-0.00682730923694797,0.662314416535106,0.178935791603417,"Not structured"
"LINC00944",4.8856,1.15808045412148e-10,5.50755511136658e-09,0.073,0.002,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0510113160474047,0.000292105765511164,3.53445987094506,"Weakly structured"
"MS4A1",4.8639,8.09105316161506e-59,1.03508843096542e-54,0.683,0.049,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.39841724006962,2.52531580045628e-137,136.597684303953,"Spatially structured"
"CXCL13",4.8032,2.62904995550904e-29,3.73704845342524e-26,0.341,0.023,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.26854688323344,1.81891751024012e-65,64.7401869961866,"Weakly structured"
"C11orf86",-4.7401,8.95393693757404e-06,0.000153343661636392,0,0.338,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.382786099930272,4.49557646945907e-125,124.347214610615,"Spatially structured"
"BTNL3",-4.7068,9.14257675242728e-07,2.00275658208565e-05,0,0.389,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.306737167594738,5.86132151601012e-81,80.2320044552437,"Spatially structured"
"FCER2",4.6226,3.31730820538554e-12,1.99240957143179e-10,0.098,0.004,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0300702631892333,0.0245137240916345,1.6105907063086,"Weakly structured"
"SHISA8",4.6226,4.67364603067005e-08,1.35578126236648e-06,0.073,0.004,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.050027736224402,0.000426392350040432,3.37019059564431,"Weakly structured"
