"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested"
"PDZD3",6.5785,5.36269319930849e-15,3.50787168899766e-12,0.069,0.001,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC141928.1",6.5447,2.00638905564889e-11,3.04331418209004e-09,0.069,0.002,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"WNT7B",6.5294,6.67892485482215e-18,1.74754068826422e-14,0.103,0.003,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CCDC78",6.2275,3.69372300402442e-14,1.54634019840478e-11,0.103,0.004,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AP001059.3",6.1004,2.12647041279881e-05,0.000496777663847151,0.069,0.006,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC006273.1",5.879,6.23086698795691e-13,1.71611194463045e-10,0.069,0.002,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC138894.1",5.8519,5.32078555279137e-06,0.000154258563976494,0.069,0.005,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"FXYD3",5.7659,2.86056183329449e-07,1.18804127568492e-05,0.069,0.004,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC011139.1",5.5316,1.15739761973039e-27,1.21133234880983e-23,0.241,0.011,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LINC01806",5.4703,2.86056183329449e-07,1.18804127568492e-05,0.069,0.004,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CKMT2",5.3556,2.06570616694659e-12,4.41217974352307e-10,0.103,0.005,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RALYL",5.2923,3.87256378206028e-05,0.000808987076707444,0.069,0.006,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PRDM8",5.2251,0.000105831745825936,0.00179519457344287,0.069,0.007,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CELF2",5.2208,0.000746894960089323,0.00816823683625377,0.276,0.105,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC025754.2",5.205,0.00743899641535934,0.0397836159852585,0.069,0.013,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"C9orf116",5.1727,0.000511220344480935,0.00616409231029662,0.069,0.008,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
