"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","Moran_neglog10_padj","spatial_class"
"NBPF1",-3.6537,0.00238050629755582,0.0234576361403522,0,0.056,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,-0.00478698914791375,0.700081406482693,0.154851456656292,"Not structured"
"HIRA",-2.9619,0.00416689763039838,0.0359156797390475,0.006,0.061,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00732716101752951,0.239594885552461,0.620522456733689,"Not structured"
"SLC22A9",-2.7058,0.000152350427122562,0.00255155188369764,0.013,0.107,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0220063107399596,0.0130948311621121,1.88290009676802,"Weakly structured"
"CCL18",2.5907,6.39910128824215e-13,5.10254491953216e-11,0.166,0.043,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0666781956314942,1.57273035446275e-12,11.8033457310367,"Weakly structured"
"IGLC7",2.5761,7.55753814608898e-05,0.00140145689485435,0.134,0.059,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.120886032613186,1.09963398817066e-37,36.9587518451774,"Weakly structured"
"ZNF521",2.5132,1.00667491885772e-05,0.000241555375205534,0.051,0.011,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00320495377871634,0.383737762395213,0.415965461179838,"Not structured"
"CCR7",2.4437,5.01752634150231e-08,1.926358446519e-06,0.108,0.03,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0447753594633096,1.73026333251118e-06,5.76188779562645,"Weakly structured"
"SIDT1",2.4418,3.73028277751992e-09,1.6739442108992e-07,0.076,0.014,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,-0.00656007190314615,0.760136922447172,0.119108171788566,"Not structured"
"GJA5",2.3819,2.58402787950308e-08,1.026284789231e-06,0.108,0.029,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0594057934522054,2.63270603208754e-10,9.57959763150149,"Weakly structured"
"ANKRD29",2.3524,0.000452602003331983,0.00629915256871206,0.076,0.028,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,-0.00108156957787859,0.559733905454432,0.252018385239454,"Not structured"
"CCL21",2.3075,2.51526074083835e-47,2.60731928395303e-43,0.924,0.781,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.277363579536411,6.63387668590661e-189,188.178232605643,"Weakly structured"
"CD96",2.2971,0.000717415484007865,0.00914726802856769,0.07,0.026,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0138184709360074,0.083782949060987,1.07684435705223,"Not structured"
"AC008549.1",-2.289,0.000835145991132861,0.0104177176222422,0.013,0.09,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0154806277084335,0.0609512223215879,1.21501758057558,"Not structured"
"NGEF",-2.2823,0.00298800610956349,0.0281578830288501,0.013,0.076,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0246731787847107,0.00614099211259853,2.21176146041903,"Weakly structured"
"AC145207.5",2.2555,1.0089953593425e-06,3.02290343784517e-05,0.089,0.025,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0204228418615119,0.0190274923369987,1.7206184442913,"Weakly structured"
"MDFI",2.2536,7.77123432656454e-07,2.40467507549755e-05,0.07,0.016,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00281696956481498,0.399317225185819,0.39868195541598,"Not structured"
"HRH2",2.2514,0.000291665383244592,0.00443965251499771,0.051,0.014,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,-0.000945277815927444,0.55468224427774,0.25595573593407,"Not structured"
"CCL19",2.241,2.0948454946049e-27,8.0426549618794e-25,0.631,0.311,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.206983798926049,5.61135446740187e-106,105.250932296192,"Weakly structured"
"CYTIP",2.2323,0.000274634071248401,0.0042300992311455,0.102,0.042,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0222636497181978,0.0120215084875771,1.9200410326057,"Weakly structured"
"TTN",2.2279,2.87669805188558e-05,0.000606094552964347,0.064,0.017,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0315822922029335,0.000576415068505498,3.23926467448669,"Weakly structured"
"CCR5",2.1108,1.12454518746371e-07,4.01966738387889e-06,0.096,0.025,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.013327698602422,0.0918157412749226,1.03708285515195,"Not structured"
"GDPD3",2.0751,7.03176310985473e-06,0.000173138376239321,0.083,0.024,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0268623217543682,0.0029875339175331,2.52468715546176,"Weakly structured"
"C16orf54",2.069,8.96888200390465e-05,0.0016197113388933,0.089,0.032,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00586729493423607,0.288318977598309,0.54012677074057,"Not structured"
"PIK3R3",2.0677,5.12717021795626e-05,0.00101234755198733,0.089,0.03,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0044154863212059,0.340267218915877,0.468179888487784,"Not structured"
"LOX",2.0449,4.01205587436774e-05,0.000821916426752886,0.115,0.045,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0262889268184945,0.00369067922591264,2.43289369971628,"Weakly structured"
"GAS1",2.009,5.64386253924588e-06,0.000141656850077053,0.115,0.041,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0268270488180549,0.0031308918129539,2.50433193904195,"Weakly structured"
"LSAMP",2.0038,2.13926224185098e-05,0.000469104020178242,0.057,0.014,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.000352075764047089,0.500240406173337,0.300821231699115,"Not structured"
"SLAMF1",1.9996,6.07287140995065e-05,0.00116146466855255,0.083,0.028,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00272564635993524,0.403346122919014,0.394322113266625,"Not structured"
"NRARP",1.9991,7.21980704030262e-05,0.00135070132669655,0.064,0.018,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0107928868890649,0.141571362569495,0.849024588001207,"Not structured"
"PSTPIP1",1.9965,3.09266450456042e-08,1.21433940357096e-06,0.134,0.041,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.029717550865527,0.00117951150713043,2.92829781784844,"Weakly structured"
"KCNMB4",1.9952,0.00412948223937927,0.0357313964051799,0.051,0.019,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00537290684251057,0.304552109943617,0.516338387350556,"Not structured"
"FGF7",1.9928,7.0719695613531e-08,2.63697972924411e-06,0.108,0.03,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.030783845070244,0.000804197106626219,3.09463749375304,"Weakly structured"
"TMEM243",1.9811,3.00872229986206e-05,0.000631344440493323,0.083,0.027,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0115740740006351,0.124811552713284,0.903745213953111,"Not structured"
"CCDC144A",1.9539,2.29295413786365e-07,7.92292086436485e-06,0.121,0.038,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0369196382336836,7.21678236498192e-05,4.14165639143391,"Weakly structured"
"ATF6B",1.9538,0.00172938288913356,0.0185962479551437,0.064,0.024,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00348984570112504,0.375045645195251,0.425915872938787,"Not structured"
"ZNF142",1.9146,0.0022306228912255,0.022383966012046,0.064,0.025,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,-0.00506639882235748,0.711115942261319,0.148059584953446,"Not structured"
"SYK",1.9119,2.74324052468273e-09,1.25270622373838e-07,0.178,0.061,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00810375776294504,0.215329738322259,0.666895987373982,"Not structured"
"NFKBID",1.9101,0.000269513308533478,0.00417604627243353,0.07,0.024,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,-0.00444838819389739,0.688029534376334,0.162392918826456,"Not structured"
"PTGES",1.9077,3.34132848697686e-06,8.88107976820568e-05,0.096,0.029,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0142674407287173,0.0761249939465841,1.11847272889392,"Not structured"
"PRIMA1",1.904,0.00201694596797782,0.0209076619040581,0.057,0.021,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00181370999476408,0.437841569737278,0.358683007842402,"Not structured"
"TCF7",1.8633,1.75969335890489e-05,0.000395996185712994,0.115,0.043,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0274433820233519,0.0025460879772398,2.59412659386003,"Weakly structured"
"LTB",1.8633,2.97173382921183e-16,3.42277698595665e-14,0.318,0.112,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0543521135177851,8.53075176949275e-09,8.06901269509789,"Weakly structured"
"TMOD2",1.8557,6.72865507901001e-06,0.000166465963124147,0.108,0.037,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0107389107964636,0.143775646707449,0.842314670255398,"Not structured"
"COL4A3",1.8497,0.00126284277963665,0.0145289991717131,0.057,0.02,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0119973333157331,0.115686606011167,0.936716919977938,"Not structured"
"ZNF549",1.8393,0.00269561497951649,0.0259449813163119,0.051,0.018,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0156256582618181,0.057480696987528,1.24047797442782,"Not structured"
"RBL1",1.8379,0.00205328202098759,0.0211363668615267,0.064,0.024,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.021298142545334,0.0152102281100474,1.81786427271939,"Weakly structured"
"TDP1",1.837,0.00103975248391326,0.0124458132196823,0.076,0.03,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,-0.0204608381035041,0.984975866889908,0.00657441011654096,"Not structured"
"AC245407.2",1.8296,0.00153151365158653,0.0168471770901085,0.07,0.027,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,-0.001267256696953,0.56559450941276,0.247494815164684,"Not structured"
"TTF2",1.8253,0.00070117897454567,0.0090054167129602,0.07,0.025,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,-0.00509113339561885,0.711255232477339,0.147974525619472,"Not structured"
"RHOF",1.825,2.46743621689718e-05,0.000530652361501166,0.089,0.029,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0116887067392619,0.122947135320743,0.910281585907676,"Not structured"
