"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","Moran_neglog10_padj","spatial_class"
"AP1M2",-4.0143,6.59983776238058e-05,0.00198548810536047,0,0.157,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.13426996243164,1.56328759286017e-46,45.805961118908,"Weakly structured"
"MMP11",-3.9539,2.8594565138958e-05,0.00108679675679237,0.012,0.189,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.265277531318263,9.66918854172805e-176,175.014609971278,"Weakly structured"
"CST1",-3.8512,0.00502209931406858,0.0492325337532009,0,0.084,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.328303608025181,4.01870080309781e-269,268.395914326329,"Spatially structured"
"RPL26L1",-3.7018,0.000348897382966791,0.00702891019842086,0,0.13,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.0479546964876841,1.62488363008448e-07,6.78917773660625,"Weakly structured"
"MACC1",-3.6319,0.000468769099186484,0.0088660653464279,0,0.125,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.099239469043428,2.41629299927737e-26,25.6168504043829,"Weakly structured"
"LRATD1",-3.5872,0.000618777287944858,0.0110900741368115,0,0.12,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.107033132375778,2.50132026236395e-30,29.6018306988042,"Weakly structured"
"AC132217.1",-3.5701,0.00136352868071877,0.0200394010207274,0,0.107,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.272381780209387,2.93831235987333e-185,184.531902038036,"Weakly structured"
"CCL19",3.5287,1.36769562254483e-32,1.22613912561144e-28,0.337,0.048,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.202594714371614,3.08706854186186e-104,103.510453727816,"Weakly structured"
"SATB2",-3.4377,0.00136060619462778,0.020029284950473,0,0.107,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.0777967512002249,6.12427276280135e-17,16.2129454749396,"Weakly structured"
"POSTN",-3.3639,1.80746214382697e-07,1.78064814498997e-05,0.047,0.308,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.346927478217888,1.50837310156979e-298,297.821491220859,"Spatially structured"
"GALNT12",-3.2674,0.00232827550623996,0.028909958328866,0,0.098,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.0870861193020884,9.52854907334677e-21,20.0209732250083,"Weakly structured"
"VAPB",-3.2567,0.00229091292674897,0.0286443994258082,0,0.098,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.0762242359764987,2.44782521238487e-16,15.6112195963332,"Weakly structured"
"DENND10",-3.2059,0.00255539392816808,0.0308235789703307,0,0.096,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.0212084422402868,0.0116084819756333,1.93522456860853,"Weakly structured"
"CCR2",3.1285,4.86956911785545e-07,4.27996932760531e-05,0.058,0.007,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.0275524190320199,0.00139265617201206,2.8561560917808,"Weakly structured"
"JPH1",-3.1221,0.00338738469223206,0.0372612316145527,0,0.091,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.0782067950793763,4.20274080686841e-17,16.3764673931537,"Weakly structured"
"AGAP1-IT1",3.1214,2.78246269618431e-07,2.51967455265579e-05,0.058,0.007,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.00382026305552217,0.330386531613639,0.48097766524118,"Not structured"
"DPT",3.1019,4.43724528273285e-14,3.31499199664166e-11,0.174,0.029,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.122115870658289,3.33264329778675e-39,38.4772111676155,"Weakly structured"
"CA9",-3.0944,0.00516100471702139,0.0499063437924798,0,0.084,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.131869845253485,4.7941161292874e-45,44.3192914501318,"Weakly structured"
