"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","spatial_class"
"AC111182.1",8.7035,1.88565589966541e-44,1.50399914557313e-40,0.054,0,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0520817469494182,0.891133151808677,"Not structured"
"C4orf47",8.618,6.15961432458686e-30,2.45645419264524e-26,0.054,0,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0512288178511511,0.891133151808677,"Not structured"
"AC011511.5",6.6158,1.22498227285417e-22,2.44261465207121e-19,0.054,0.001,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0331567436876998,0.891133151808677,"Not structured"
"AC004221.1",6.584,1.22498227285417e-22,2.44261465207121e-19,0.054,0.001,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0260583260941159,0.539589736862351,"Not structured"
"AC106739.1",6.1274,2.87797265081141e-18,3.90927016218519e-15,0.054,0.001,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0669619601477234,0.891133151808677,"Not structured"
"TRPC3",6.0202,2.94077494647833e-18,3.90927016218519e-15,0.054,0.001,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0619410386486857,0.891133151808677,"Not structured"
"FAM163B",5.8051,2.48693329847761e-15,2.53341562064451e-12,0.054,0.001,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0707058135265545,0.891133151808677,"Not structured"
"AC027449.1",4.9212,1.15834121263216e-12,6.59923536568152e-10,0.081,0.004,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0898786248289238,0.8935812524372,"Not structured"
"FP565260.3",4.9199,2.03789699954982e-07,3.31719723845089e-05,0.054,0.003,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0419250904911501,0.891133151808677,"Not structured"
"AL590560.2",4.8853,1.68876258449494e-06,0.000213802704348121,0.054,0.004,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0992952155437313,0.0650283412689598,"Not structured"
