"from"	"to"	"source"	"database"
"Tgfb1"	"TGFbR1_R2"	"TGFb"	"cellchat"
"Tgfb2"	"TGFbR1_R2"	"TGFb"	"cellchat"
"Tgfb3"	"TGFbR1_R2"	"TGFb"	"cellchat"
"Tgfb1"	"ACVR1B_TGFbR2"	"TGFb"	"cellchat"
"Tgfb1"	"ACVR1C_TGFbR2"	"TGFb"	"cellchat"
"Tgfb2"	"ACVR1B_TGFbR2"	"TGFb"	"cellchat"
"Tgfb2"	"ACVR1C_TGFbR2"	"TGFb"	"cellchat"
"Tgfb3"	"ACVR1B_TGFbR2"	"TGFb"	"cellchat"
"Tgfb3"	"ACVR1C_TGFbR2"	"TGFb"	"cellchat"
"Tgfb1"	"ACVR1_TGFbR"	"TGFb"	"cellchat"
"Tgfb2"	"ACVR1_TGFbR"	"TGFb"	"cellchat"
"Tgfb3"	"ACVR1_TGFbR"	"TGFb"	"cellchat"
"Bmp2"	"BMPR1A_ACVR2A"	"BMP"	"cellchat"
"Bmp2"	"BMPR1A_ACVR2B"	"BMP"	"cellchat"
"Bmp2"	"BMPR1A_BMPR2"	"BMP"	"cellchat"
"Bmp2"	"BMPR1B_ACVR2A"	"BMP"	"cellchat"
"Bmp2"	"BMPR1B_ACVR2B"	"BMP"	"cellchat"
"Bmp2"	"BMPR1B_BMPR2"	"BMP"	"cellchat"
"Bmp4"	"BMPR1A_ACVR2A"	"BMP"	"cellchat"
"Bmp4"	"BMPR1A_ACVR2B"	"BMP"	"cellchat"
"Bmp4"	"BMPR1A_BMPR2"	"BMP"	"cellchat"
"Bmp4"	"BMPR1B_ACVR2A"	"BMP"	"cellchat"
"Bmp4"	"BMPR1B_ACVR2B"	"BMP"	"cellchat"
"Bmp4"	"BMPR1B_BMPR2"	"BMP"	"cellchat"
"Gdf5"	"BMPR1A_ACVR2A"	"BMP"	"cellchat"
"Gdf5"	"BMPR1A_ACVR2B"	"BMP"	"cellchat"
"Gdf5"	"BMPR1A_BMPR2"	"BMP"	"cellchat"
"Gdf5"	"BMPR1B_ACVR2A"	"BMP"	"cellchat"
"Gdf5"	"BMPR1B_ACVR2B"	"BMP"	"cellchat"
"Gdf5"	"BMPR1B_BMPR2"	"BMP"	"cellchat"
"Gdf6"	"BMPR1A_ACVR2A"	"BMP"	"cellchat"
"Gdf6"	"BMPR1A_ACVR2B"	"BMP"	"cellchat"
"Gdf6"	"BMPR1A_BMPR2"	"BMP"	"cellchat"
"Gdf6"	"BMPR1B_ACVR2A"	"BMP"	"cellchat"
"Gdf6"	"BMPR1B_ACVR2B"	"BMP"	"cellchat"
"Gdf6"	"BMPR1B_BMPR2"	"BMP"	"cellchat"
"Gdf7"	"BMPR1A_ACVR2A"	"BMP"	"cellchat"
"Gdf7"	"BMPR1A_ACVR2B"	"BMP"	"cellchat"
"Gdf7"	"BMPR1A_BMPR2"	"BMP"	"cellchat"
"Gdf7"	"BMPR1B_ACVR2A"	"BMP"	"cellchat"
"Gdf7"	"BMPR1B_ACVR2B"	"BMP"	"cellchat"
"Gdf7"	"BMPR1B_BMPR2"	"BMP"	"cellchat"
"Bmp15"	"BMPR1B_BMPR2"	"BMP"	"cellchat"
"Bmp5"	"ACVR1_ACVR2A"	"BMP"	"cellchat"
"Bmp5"	"ACVR1_ACVR2B"	"BMP"	"cellchat"
"Bmp5"	"ACVR1_BMPR2"	"BMP"	"cellchat"
"Bmp5"	"BMPR1A_ACVR2A"	"BMP"	"cellchat"
"Bmp5"	"BMPR1A_ACVR2B"	"BMP"	"cellchat"
"Bmp5"	"BMPR1A_BMPR2"	"BMP"	"cellchat"
"Bmp5"	"BMPR1B_ACVR2A"	"BMP"	"cellchat"
"Bmp5"	"BMPR1B_ACVR2B"	"BMP"	"cellchat"
"Bmp5"	"BMPR1B_BMPR2"	"BMP"	"cellchat"
"Bmp6"	"ACVR1_ACVR2A"	"BMP"	"cellchat"
"Bmp6"	"ACVR1_ACVR2B"	"BMP"	"cellchat"
"Bmp6"	"ACVR1_BMPR2"	"BMP"	"cellchat"
"Bmp6"	"BMPR1A_ACVR2A"	"BMP"	"cellchat"
"Bmp6"	"BMPR1A_ACVR2B"	"BMP"	"cellchat"
"Bmp6"	"BMPR1A_BMPR2"	"BMP"	"cellchat"
"Bmp6"	"BMPR1B_ACVR2A"	"BMP"	"cellchat"
"Bmp6"	"BMPR1B_ACVR2B"	"BMP"	"cellchat"
"Bmp6"	"BMPR1B_BMPR2"	"BMP"	"cellchat"
"Bmp7"	"ACVR1_ACVR2A"	"BMP"	"cellchat"
"Bmp7"	"ACVR1_ACVR2B"	"BMP"	"cellchat"
"Bmp7"	"ACVR1_BMPR2"	"BMP"	"cellchat"
"Bmp7"	"BMPR1A_ACVR2A"	"BMP"	"cellchat"
"Bmp7"	"BMPR1A_ACVR2B"	"BMP"	"cellchat"
"Bmp7"	"BMPR1A_BMPR2"	"BMP"	"cellchat"
"Bmp7"	"BMPR1B_ACVR2A"	"BMP"	"cellchat"
"Bmp7"	"BMPR1B_ACVR2B"	"BMP"	"cellchat"
"Bmp7"	"BMPR1B_BMPR2"	"BMP"	"cellchat"
"Bmp8a"	"ACVR1_ACVR2A"	"BMP"	"cellchat"
"Bmp8a"	"ACVR1_ACVR2B"	"BMP"	"cellchat"
"Bmp8a"	"ACVR1_BMPR2"	"BMP"	"cellchat"
"Bmp8a"	"BMPR1A_ACVR2A"	"BMP"	"cellchat"
"Bmp8a"	"BMPR1A_ACVR2B"	"BMP"	"cellchat"
"Bmp8a"	"BMPR1A_BMPR2"	"BMP"	"cellchat"
