from	to	source	database
CXCL1	CXCR2	kegg_cytokines	kegg
CXCL2	CXCR2	kegg_cytokines	kegg
CXCL3	CXCR2	kegg_cytokines	kegg
CXCL5	CXCR2	kegg_cytokines	kegg
PPBP	CXCR2	kegg_cytokines	kegg
CXCL6	CXCR2	kegg_cytokines	kegg
CXCL8	CXCR2	kegg_cytokines	kegg
CXCL6	CXCR1	kegg_cytokines	kegg
CXCL8	CXCR1	kegg_cytokines	kegg
CXCL9	CXCR3	kegg_cytokines	kegg
CXCL10	CXCR3	kegg_cytokines	kegg
CXCL11	CXCR3	kegg_cytokines	kegg
CXCL12	CXCR4	kegg_cytokines	kegg
CXCL13	CXCR5	kegg_cytokines	kegg
CXCL16	CXCR6	kegg_cytokines	kegg
XCL1	XCR1	kegg_cytokines	kegg
XCL2	XCR1	kegg_cytokines	kegg
CX3CL1	CX3CR1	kegg_cytokines	kegg
CCL20	CCR6	kegg_cytokines	kegg
CCL25	CCR9	kegg_cytokines	kegg
CCL17	CCR4	kegg_cytokines	kegg
CCL22	CCR4	kegg_cytokines	kegg
CCL19	CCR7	kegg_cytokines	kegg
CCL21	CCR7	kegg_cytokines	kegg
CCL2	CCR2	kegg_cytokines	kegg
CCL4L1	CCR5	kegg_cytokines	kegg
CCL3L3	CCR5	kegg_cytokines	kegg
CCL13	CCR2	kegg_cytokines	kegg
CCL13	CCR3	kegg_cytokines	kegg
CCL7	CCR2	kegg_cytokines	kegg
CCL7	CCR1	kegg_cytokines	kegg
CCL5	CCR5	kegg_cytokines	kegg
CCL5	CCR1	kegg_cytokines	kegg
CCL5	CCR3	kegg_cytokines	kegg
CCL14	CCR1	kegg_cytokines	kegg
CCL16	CCR1	kegg_cytokines	kegg
CCL23	CCR1	kegg_cytokines	kegg
CCL15	CCR1	kegg_cytokines	kegg
CCL15	CCR3	kegg_cytokines	kegg
CCL8	CCR3	kegg_cytokines	kegg
CCL11	CCR3	kegg_cytokines	kegg
CCL24	CCR3	kegg_cytokines	kegg
CCL26	CCR3	kegg_cytokines	kegg
CCL28	CCR3	kegg_cytokines	kegg
CCL28	CCR10	kegg_cytokines	kegg
CCL27	CCR10	kegg_cytokines	kegg
IL6	IL6ST	kegg_cytokines	kegg
IL6	IL6R	kegg_cytokines	kegg
IL11	IL11RA	kegg_cytokines	kegg
IL11	IL6ST	kegg_cytokines	kegg
OSM	LIFR	kegg_cytokines	kegg
OSM	IL6ST	kegg_cytokines	kegg
OSM	OSMR	kegg_cytokines	kegg
LIF	LIFR	kegg_cytokines	kegg
LIF	IL6ST	kegg_cytokines	kegg
CNTF	CNTFR	kegg_cytokines	kegg
CNTF	LIFR	kegg_cytokines	kegg
CNTF	IL6ST	kegg_cytokines	kegg
CLCF1	CNTFR	kegg_cytokines	kegg
CLCF1	LIFR	kegg_cytokines	kegg
CLCF1	IL6ST	kegg_cytokines	kegg
CTF1	LIFR	kegg_cytokines	kegg
CTF1	IL6ST	kegg_cytokines	kegg
CSF3	CSF3R	kegg_cytokines	kegg
LEP	LEPR	kegg_cytokines	kegg
IL4	IL13RA1	kegg_cytokines	kegg
IL4	IL4R	kegg_cytokines	kegg
IL13	IL13RA1	kegg_cytokines	kegg
IL13	IL4R	kegg_cytokines	kegg
IL12A	IL12RB2	kegg_cytokines	kegg
IL12A	IL12RB1	kegg_cytokines	kegg
IL23A	IL12RB1	kegg_cytokines	kegg
IL23A	IL23R	kegg_cytokines	kegg
CSF2	CSF2RB	kegg_cytokines	kegg
CSF2	CSF2RA	kegg_cytokines	kegg
IL3	IL3RA	kegg_cytokines	kegg
IL3	CSF2RB	kegg_cytokines	kegg
IL5	IL5RA	kegg_cytokines	kegg
IL5	CSF2RB	kegg_cytokines	kegg
IL2	IL2RG	kegg_cytokines	kegg
IL2	IL2RB	kegg_cytokines	kegg
IL2	IL2RA	kegg_cytokines	kegg
IL4	IL2RG	kegg_cytokines	kegg
IL7	IL7R	kegg_cytokines	kegg
IL7	IL2RG	kegg_cytokines	kegg
IL9	IL9R	kegg_cytokines	kegg
IL9	IL2RG	kegg_cytokines	kegg
IL15	IL2RG	kegg_cytokines	kegg
IL15	IL15RA	kegg_cytokines	kegg
IL15	IL2RB	kegg_cytokines	kegg
IL21	IL2RG	kegg_cytokines	kegg
IL21	IL21R	kegg_cytokines	kegg
TSLP	CRLF2	kegg_cytokines	kegg
TSLP	IL7R	kegg_cytokines	kegg
EPO	EPOR	kegg_cytokines	kegg
GH1	GHR	kegg_cytokines	kegg
GH2	GHR	kegg_cytokines	kegg
PRL	PRLR	kegg_cytokines	kegg
THPO	MPL	kegg_cytokines	kegg
PDGFC	PDGFRA	kegg_cytokines	kegg
PDGFA	PDGFRA	kegg_cytokines	kegg
PDGFA	PDGFRB	kegg_cytokines	kegg
PDGFB	PDGFRA	kegg_cytokines	kegg
PDGFB	PDGFRB	kegg_cytokines	kegg
PLEKHO2	PDGFRB	kegg_cytokines	kegg
VEGFB	FLT1	kegg_cytokines	kegg
VEGFA	FLT1	kegg_cytokines	kegg
VEGFA	KDR	kegg_cytokines	kegg
VEGFD	KDR	kegg_cytokines	kegg
VEGFD	FLT4	kegg_cytokines	kegg
HGF	MET	kegg_cytokines	kegg
EGF	EGFR	kegg_cytokines	kegg
CSF1	CSF1R	kegg_cytokines	kegg
KITLG	KIT	kegg_cytokines	kegg
FLT3LG	FLT3	kegg_cytokines	kegg
IFNA1	IFNAR2	kegg_cytokines	kegg
IFNA1	IFNAR1	kegg_cytokines	kegg
IFNB1	IFNAR2	kegg_cytokines	kegg
IFNB1	IFNAR1	kegg_cytokines	kegg
IFNW1	IFNAR2	kegg_cytokines	kegg
IFNW1	IFNAR1	kegg_cytokines	kegg
IFNK	IFNAR2	kegg_cytokines	kegg
IFNK	IFNAR1	kegg_cytokines	kegg
IFNE	IFNAR2	kegg_cytokines	kegg
IFNE	IFNAR1	kegg_cytokines	kegg
IFNG	IFNGR2	kegg_cytokines	kegg
IFNG	IFNGR1	kegg_cytokines	kegg
IL10	IL10RB	kegg_cytokines	kegg
IL10	IL10RA	kegg_cytokines	kegg
IL19	IL20RA	kegg_cytokines	kegg
IL20	IL20RA	kegg_cytokines	kegg
IL20	IL22RA1	kegg_cytokines	kegg
IL24	IL20RA	kegg_cytokines	kegg
IL24	IL22RA1	kegg_cytokines	kegg
IL22	IL10RB	kegg_cytokines	kegg
IL22	IL22RA1	kegg_cytokines	kegg
IL22	IL22RA2	kegg_cytokines	kegg
IFNL2	IL10RB	kegg_cytokines	kegg
IFNL2	IFNLR1	kegg_cytokines	kegg
IFNL3	IL10RB	kegg_cytokines	kegg
IFNL3	IFNLR1	kegg_cytokines	kegg
IFNL1	IL10RB	kegg_cytokines	kegg
IFNL1	IFNLR1	kegg_cytokines	kegg
TNFSF10	TNFRSF10A	kegg_cytokines	kegg
TNFSF10	TNFRSF10B	kegg_cytokines	kegg
TNFSF10	TNFRSF10C	kegg_cytokines	kegg
TNFSF10	TNFRSF10D	kegg_cytokines	kegg
TNFSF10	TNFRSF11B	kegg_cytokines	kegg
TNFSF11	TNFRSF11B	kegg_cytokines	kegg
TNFSF11	TNFRSF11A	kegg_cytokines	kegg
TNFSF12	TNFRSF12A	kegg_cytokines	kegg
TNF	TNFRSF1B	kegg_cytokines	kegg
TNF	TNFRSF1A	kegg_cytokines	kegg
LTA	TNFRSF1B	kegg_cytokines	kegg
LTA	TNFRSF1A	kegg_cytokines	kegg
LTA	LTBR	kegg_cytokines	kegg
LTA	TNFRSF14	kegg_cytokines	kegg
LTB	LTBR	kegg_cytokines	kegg
TNFSF14	LTBR	kegg_cytokines	kegg
TNFSF14	TNFRSF14	kegg_cytokines	kegg
TNFSF14	TNFRSF6B	kegg_cytokines	kegg
FASLG	TNFRSF6B	kegg_cytokines	kegg
FASLG	FAS	kegg_cytokines	kegg
CD40LG	CD40	kegg_cytokines	kegg
CD70	CD27	kegg_cytokines	kegg
TNFSF8	TNFRSF8	kegg_cytokines	kegg
TNFSF9	TNFRSF9	kegg_cytokines	kegg
TNFSF4	TNFRSF4	kegg_cytokines	kegg
TNFSF18	TNFRSF18	kegg_cytokines	kegg
TNFSF13	TNFRSF17	kegg_cytokines	kegg
TNFSF13	TNFRSF13B	kegg_cytokines	kegg
TNFSF13B	TNFRSF17	kegg_cytokines	kegg
TNFSF13B	TNFRSF13B	kegg_cytokines	kegg
TNFSF13B	TNFRSF13C	kegg_cytokines	kegg
EDA	EDAR	kegg_cytokines	kegg
EDA	EDA2R	kegg_cytokines	kegg
TGFB1	TGFBR1	kegg_cytokines	kegg
TGFB1	TGFBR2	kegg_cytokines	kegg
TGFB2	TGFBR1	kegg_cytokines	kegg
TGFB2	TGFBR2	kegg_cytokines	kegg
TGFB3	TGFBR1	kegg_cytokines	kegg
TGFB3	TGFBR2	kegg_cytokines	kegg
INHBA	ACVR1	kegg_cytokines	kegg
INHBA	ACVR2A	kegg_cytokines	kegg
INHBA	ACVR1B	kegg_cytokines	kegg
INHBA	ACVR2B	kegg_cytokines	kegg
INHBB	ACVR1	kegg_cytokines	kegg
INHBB	ACVR2A	kegg_cytokines	kegg
INHBB	ACVR1B	kegg_cytokines	kegg
INHBB	ACVR2B	kegg_cytokines	kegg
INHBC	ACVR1	kegg_cytokines	kegg
INHBC	ACVR2A	kegg_cytokines	kegg
INHBC	ACVR1B	kegg_cytokines	kegg
INHBC	ACVR2B	kegg_cytokines	kegg
INHBE	ACVR1	kegg_cytokines	kegg
INHBE	ACVR2A	kegg_cytokines	kegg
INHBE	ACVR1B	kegg_cytokines	kegg
INHBE	ACVR2B	kegg_cytokines	kegg
AMH	ACVR1	kegg_cytokines	kegg
AMH	AMHR2	kegg_cytokines	kegg
BMP2	ACVR1	kegg_cytokines	kegg
BMP2	BMPR2	kegg_cytokines	kegg
BMP2	BMPR1B	kegg_cytokines	kegg
BMP2	BMPR1A	kegg_cytokines	kegg
BMP7	BMPR1B	kegg_cytokines	kegg
BMP7	ACVR2A	kegg_cytokines	kegg
GDF5	BMPR1A	kegg_cytokines	kegg
GDF5	ACVR2A	kegg_cytokines	kegg
IL1A	IL1RAP	kegg_cytokines	kegg
IL1A	IL1R1	kegg_cytokines	kegg
IL1A	IL1R2	kegg_cytokines	kegg
IL1B	IL1RAP	kegg_cytokines	kegg
IL1B	IL1R1	kegg_cytokines	kegg
IL1B	IL1R2	kegg_cytokines	kegg
IL18	IL18RAP	kegg_cytokines	kegg
IL18	IL18R1	kegg_cytokines	kegg
CXCL11	ACKR3	kegg_cytokines	kegg
CXCL12	ACKR3	kegg_cytokines	kegg
CCL1	CCR8	kegg_cytokines	kegg
IL25	IL17RB	kegg_cytokines	kegg
IL25	IL17RA	kegg_cytokines	kegg
IL17A	IL17RA	kegg_cytokines	kegg
IL17A	IL17RC	kegg_cytokines	kegg
IL17F	IL17RA	kegg_cytokines	kegg
IL17F	IL17RC	kegg_cytokines	kegg
IL17C	IL17RA	kegg_cytokines	kegg
IL17C	IL17RE	kegg_cytokines	kegg
IL17B	IL17RB	kegg_cytokines	kegg
AREG	EGFR	kegg_cytokines	kegg
EREG	EGFR	kegg_cytokines	kegg
CD58	CD2	kegg_cams	kegg
CD80	CD28	kegg_cams	kegg
CD80	CTLA4	kegg_cams	kegg
CD86	CD28	kegg_cams	kegg
CD86	CTLA4	kegg_cams	kegg
HLA-DMA	CD4	kegg_cams	kegg
HLA-A	CD8A	kegg_cams	kegg
CD274	PDCD1	kegg_cams	kegg
PDCD1LG2	PDCD1	kegg_cams	kegg
ITGB2	CD226	kegg_cams	kegg
ITGAL	CD226	kegg_cams	kegg
ITGB2	ICAM1	kegg_cams	kegg
ITGAL	ICAM1	kegg_cams	kegg
ICAM1	ITGB2	kegg_cams	kegg
ICAM1	ITGAL	kegg_cams	kegg
CD28	CD80	kegg_cams	kegg
ITGAM	ICAM1	kegg_cams	kegg
ITGB1	VCAM1	kegg_cams	kegg
ITGA4	VCAM1	kegg_cams	kegg
ITGA9	VCAM1	kegg_cams	kegg
SELPLG	SELP	kegg_cams	kegg
SELPLG	SELE	kegg_cams	kegg
PECAM1	PECAM1	kegg_cams	kegg
PVR	CD226	kegg_cams	kegg
NECTIN2	CD226	kegg_cams	kegg
CDH2	CDH2	kegg_cams	kegg
NRXN3	NLGN4Y	kegg_cams	kegg
CNTN1	NRCAM	kegg_cams	kegg
NCAM1	NCAM1	kegg_cams	kegg
L1CAM	L1CAM	kegg_cams	kegg
NECTIN1	NECTIN1	kegg_cams	kegg
CDH1	CDH1	kegg_cams	kegg
CDH4	CDH4	kegg_cams	kegg
ALCAM	CD6	kegg_cams	kegg
PTPRC	CD22	kegg_cams	kegg
CD40	CD40LG	kegg_cams	kegg
CLDN24	CLDN24	kegg_cams	kegg
OCLN	OCLN	kegg_cams	kegg
F11R	F11R	kegg_cams	kegg
JAM2	JAM2	kegg_cams	kegg
JAM3	JAM2	kegg_cams	kegg
JAM2	JAM3	kegg_cams	kegg
JAM3	JAM3	kegg_cams	kegg
